year,is_public_channel,theme,total_subjects,total_duration,n_days
2015,False,Société,1751,162407,322
2015,False,Sport,738,59324,262
2015,True,Catastrophes,1010,78862,230
2015,True,Culture-loisirs,638,84629,246
2015,True,Economie,1431,171263,295
2015,True,Education,197,25871,118
2015,True,Environnement,698,72009,231
2015,True,Faits divers,507,39159,191
2015,True,Histoire-hommages,246,22535,112
2015,True,International,1604,128400,302
2015,True,Justice,352,32539,176
2015,True,Politique France,1826,187962,283
2015,True,Santé,294,36932,166
2015,True,Sciences et techniques,191,20462,131
2015,True,Société,1637,182318,311
2015,True,Sport,594,36437,221
2016,False,Catastrophes,807,60862,250
2016,False,Culture-loisirs,1119,126964,353
2016,False,Economie,1012,108090,316
2016,False,Education,272,30398,161
2016,False,Environnement,397,39515,208
2016,False,Faits divers,499,35764,235
2016,False,Histoire-hommages,305,27091,135
2016,False,International,1717,138415,341
2016,False,Justice,437,34413,201
2016,False,Politique France,1796,175723,336
2016,False,Santé,379,40040,217
2016,False,Sciences et techniques,308,34755,184
2016,False,Société,2063,200503,357
2016,False,Sport,1358,107516,312
2016,True,Catastrophes,898,64005,232
2016,True,Culture-loisirs,634,90636,275
2016,True,Economie,1193,149976,323
2016,True,Education,142,20173,103
2016,True,Environnement,442,46296,217
2016,True,Faits divers,412,30005,192
2016,True,Histoire-hommages,335,33268,137
2016,True,International,2012,161364,342
2016,True,Justice,418,35025,182
2016,True,Politique France,1995,189759,340
2016,True,Santé,242,29382,149
2016,True,Sciences et techniques,221,27902,143
2016,True,Société,1948,212334,351
2016,True,Sport,948,75451,251
2017,False,Catastrophes,854,64290,243
2017,False,Culture-loisirs,1025,111885,346
2017,False,Economie,1068,120218,328
2017,False,Education,282,32516,166
2017,False,Environnement,432,42985,210
2017,False,Faits divers,467,38294,220
2017,False,Histoire-hommages,293,31027,112
2017,False,International,1328,100496,319
2017,False,Justice,414,33608,204
2017,False,Politique France,2314,228941,336
2017,False,Santé,402,40505,226
2017,False,Sciences et techniques,306,36717,196
2017,False,Société,1809,180771,355
2017,False,Sport,677,57400,268
2017,True,Catastrophes,891,67089,229
2017,True,Culture-loisirs,536,80786,256
2017,True,Economie,1225,153677,328
2017,True,Education,176,25863,121
2017,True,Environnement,440,47337,222
2017,True,Faits divers,442,34211,175
2017,True,Histoire-hommages,319,30896,105
2017,True,International,1617,128050,340
2017,True,Justice,403,36361,184
2017,True,Politique France,2511,244572,353
2017,True,Santé,311,36967,172
2017,True,Sciences et techniques,180,20717,114
2017,True,Société,1546,179522,336
2017,True,Sport,542,40638,229
2018,False,Catastrophes,1035,77063,271
2018,False,Culture-loisirs,910,101174,349
2018,False,Economie,1279,144232,338
2018,False,Education,315,32478,177
2018,False,Environnement,547,54984,249
2018,False,Faits divers,605,48502,261
2018,False,Histoire-hommages,271,26205,118
2018,False,International,982,74944,302
2018,False,Justice,566,48000,233
2018,False,Politique France,994,89360,286
2018,False,Santé,391,42430,214
2018,False,Sciences et techniques,271,31887,185
2018,False,Société,2422,237100,357
2018,False,Sport,957,78579,271
2018,True,Catastrophes,1081,83245,259
2018,True,Culture-loisirs,544,78444,263
2018,True,Economie,1342,158902,334
2018,True,Education,199,23742,131
2018,True,Environnement,598,71067,260
2018,True,Faits divers,565,45261,230
2018,True,Histoire-hommages,320,32652,127
2018,True,International,1226,103578,323
2018,True,Justice,581,54572,213
2018,True,Politique France,1274,120542,311
2018,True,Santé,312,37899,186
2018,True,Sciences et techniques,113,14811,89
2018,True,Société,2278,248798,356
2018,True,Sport,675,52860,191
2019,False,Catastrophes,957,75450,279
2019,False,Culture-loisirs,885,99822,349
2019,False,Economie,1252,152298,352
2019,False,Education,237,25866,140
2019,False,Environnement,690,74136,285
2019,False,Faits divers,760,65104,271
2019,False,Histoire-hommages,282,28023,108
2019,False,International,1079,80818,322
2019,False,Justice,489,41097,237
2019,False,Politique France,882,79599,277
2019,False,Santé,404,43919,217
2019,False,Sciences et techniques,296,37827,201
2019,False,Société,2369,247245,359
2019,False,Sport,472,36697,221
2019,True,Catastrophes,964,75689,262
2019,True,Culture-loisirs,568,75820,256
2019,True,Economie,1326,159172,340
2019,True,Education,154,18618,94
2019,True,Environnement,709,84270,278
2019,True,Faits divers,665,55689,237
2019,True,Histoire-hommages,328,34383,130
2019,True,International,1235,103998,324
2019,True,Justice,483,43773,215
2019,True,Politique France,1142,111227,312
2019,True,Santé,345,42100,198
2019,True,Sciences et techniques,166,21650,118
2019,True,Société,2322,257745,357
2019,True,Sport,333,25688,155
2020,False,Catastrophes,616,49445,215
2020,False,Culture-loisirs,682,78542,301
2020,False,Economie,1610,198777,353
2020,False,Education,326,35824,151
2020,False,Environnement,420,55219,205
2020,False,Faits divers,430,35010,192
2020,False,Histoire-hommages,235,24507,108
2020,False,International,599,52011,213
2020,False,Justice,282,24678,138
2020,False,Politique France,810,80167,227
2020,False,Santé,5019,517588,356
2020,False,Sciences et techniques,202,27242,144
2020,False,Société,1479,164166,326
2020,False,Sport,295,23028,158
2020,True,Catastrophes,571,45312,178
2020,True,Culture-loisirs,442,52519,219
2020,True,Economie,1552,176339,336
2020,True,Education,245,27494,133
2020,True,Environnement,382,48706,198
2020,True,Faits divers,293,24728,143
2020,True,Histoire-hommages,253,22291,109
2020,True,International,679,60238,220
2020,True,Justice,294,26405,154
2020,True,Politique France,914,92114,251
2020,True,Santé,4392,451559,357
2020,True,Sciences et techniques,129,17322,88
2020,True,Société,1212,131119,304
2020,True,Sport,256,19060,127
