year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2019,M6,Education,114,10837,92,5469,0.020844761382336808,0.4384163030894098,0.5615836969105902
2019,TF1,Education,123,15029,96,5585,0.022023276633840645,0.4190758031828693,0.5809241968171307
2010,France 2,Environnement,325,22927,191,7015,0.04632929436920884,0.2798687260951868,0.7201312739048131
2010,France 3,Environnement,244,20618,154,5197,0.04695016355589764,0.2983292962870903,0.7016707037129097
2010,M6,Environnement,220,13496,143,5124,0.0429352068696331,0.3960734782522851,0.6039265217477149
2010,TF1,Environnement,467,38895,237,7168,0.06515066964285714,0.3268777265697555,0.6731222734302444
2011,France 2,Environnement,390,31509,182,7918,0.04925486233897449,0.3003856275098211,0.6996143724901788
2011,France 3,Environnement,246,22240,153,5563,0.04422074420276829,0.29821827251532657,0.7017817274846735
2011,M6,Environnement,245,16464,135,5558,0.04408060453400504,0.3921738155567911,0.6078261844432089
2011,TF1,Environnement,463,38930,223,7964,0.05813661476644902,0.35015486024680925,0.6498451397531907
2012,France 2,Environnement,338,27960,173,8241,0.04101443999514622,0.3279118449844103,0.6720881550155897
2012,France 3,Environnement,206,16737,137,5363,0.03841133693828081,0.3011573633003392,0.6988426366996607
2012,M6,Environnement,155,10784,110,5533,0.028013735767214894,0.40754850482157173,0.5924514951784282
2012,TF1,Environnement,361,30914,192,7700,0.04688311688311688,0.36169019916989725,0.6383098008301028
2013,France 2,Environnement,406,33445,217,8332,0.04872779644743159,0.34255751561709413,0.6574424843829059
2013,France 3,Environnement,241,19178,154,5181,0.04651611657981085,0.3040360116916624,0.6959639883083376
2013,M6,Environnement,159,10761,122,5608,0.028352353780313838,0.40690088030543853,0.5930991196945615
2013,TF1,Environnement,304,26874,186,7037,0.04320022736961773,0.36466221581051017,0.6353377841894897
2014,France 2,Environnement,439,39205,212,7978,0.05502632238656305,0.3453831363112629,0.6546168636887372
2014,France 3,Environnement,284,22903,167,5261,0.053982132674396506,0.29673796543057757,0.7032620345694224
2014,M6,Environnement,185,13736,122,5631,0.03285384478778192,0.41165212943524265,0.5883478705647573
2014,TF1,Environnement,383,34780,196,6840,0.055994152046783624,0.3705128232989756,0.6294871767010244
2015,France 2,Environnement,392,43527,187,6711,0.05841156310534942,0.35555616138705537,0.6444438386129447
2015,France 3,Environnement,306,28482,159,4514,0.06778910057598582,0.29749708521732615,0.7025029147826738
2015,M6,Environnement,220,17614,129,5172,0.042536736272235115,0.40791561019796263,0.5920843898020374
2015,TF1,Environnement,403,40955,191,6098,0.06608724171859626,0.35523936684923507,0.6447606331507649
2016,France 2,Environnement,242,29093,164,6874,0.03520512074483561,0.335066611290767,0.6649333887092331
2016,France 3,Environnement,200,17203,132,4966,0.04027386226339106,0.3243162183799622,0.6756837816200377
2016,M6,Environnement,141,10739,110,5909,0.023861905567777966,0.41293177765030864,0.5870682223496914
2016,TF1,Environnement,256,28776,170,6560,0.03902439024390244,0.37666034338367316,0.6233396566163268
2017,France 2,Environnement,241,27923,146,6354,0.03792886370790054,0.3575824853419768,0.6424175146580233
2017,France 3,Environnement,199,19414,140,4785,0.041588296760710554,0.34530453147396,0.65469546852604
2017,M6,Environnement,156,11685,104,5571,0.028002154011847066,0.4374584978412171,0.562541502158783
2017,TF1,Environnement,276,31300,177,6100,0.04524590163934426,0.3840220579668857,0.6159779420331143
