hour,channel_name,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
13,LCI,0.3886363668359366,0.6113636331640634,1382803.48,2176891.6,1131
13,LCP/Public Sénat,0.3273073165620871,0.6726926834379129,1197959.14,2500903.2600000002,1138
13,La chaîne Météo,0.20802118217714302,0.7919788178228568,415148.94,1551724.1400000001,656
13,M6,0.4357249017100239,0.564275098289976,1243363.04,1631519.62,1128
13,Monte Carlo TMC,0.3588450713911696,0.6411549286088304,1053512.08,1893845.72,1184
13,NRJ 12,0.33496418280976714,0.6650358171902327,1013247.56,2003103.7999999998,1155
13,Paris Première,0.24170659586504872,0.7582934041349513,402592.56,1262456.96,660
13,Planète+,0.22941426966178505,0.770585730338215,416865.66,1383419.6600000001,650
13,TF1,0.3688307184576002,0.6311692815423998,1357097.22,2320667.44,1181
13,TV Breizh,0.34589439210501743,0.6541056078949826,527378.38,981994.0000000001,566
13,TV5 Monde,0.3789479524373521,0.6210520475626479,800756.18,1305662.1600000001,679
13,Toute l'Histoire,0.18116140223717514,0.8188385977628249,336253.14,1529340.02,652
13,Téva,0.4846032344472217,0.5153967655527782,1068172.94,1098162.6400000001,889
13,Voyage,0.2472535251546639,0.7527464748453362,452321.42,1371900.4200000002,675
13,W9,0.3987099325396296,0.6012900674603704,1170615.32,1774459.8800000001,1198
14,ARTE,0.2408382467579228,0.7591617532420772,688756.58,2147292.2800000003,1137
14,Animaux,0.363819182779657,0.636180817220343,666426.72,1176786.8800000001,672
14,BFM TV,0.4000709146384215,0.5999290853615785,1500344.2000000002,2252707.64,1187
14,Canal+,0.2184066339547523,0.7815933660452477,612287.9000000001,2254171.34,1139
14,Canal+ Sport,0.06803100238107426,0.9319689976189257,120374.92000000001,1828422.92,644
14,Chasse et pêche,0.08533239147930229,0.9146676085206977,140718.97999999998,1498659.02,652
14,Chérie 25,0.36615748816123705,0.633842511838763,807829.74,1372390.9400000002,798
14,Comédie+,0.3024862907037748,0.6975137092962252,551746.0,1250556.14,683
14,D8/C8,0.2719858964012966,0.7280141035987033,591821.0599999999,1636882.4400000002,868
14,Euronews,0.351506217678112,0.6484937823218879,642173.64,1184508.64,668
14,Eurosport France,0.07278424648255506,0.927215753517445,237501.68000000002,3119151.36,1096
14,France 2,0.5610941006073518,0.4389058993926481,1993632.1400000001,1468645.4200000002,1113
14,France 24,0.45850280267180454,0.5414971973281955,1481908.1,1750122.86,1038
14,France 3,0.22009033373909423,0.7799096662609057,614733.2000000001,2238177.22,1132
14,France 5,0.3778537726836388,0.6221462273163613,1416396.16,2219092.84,1169
14,France O,0.366074161323085,0.633925838676915,1006917.46,1760520.1800000002,1062
14,Histoire,0.2142861264356944,0.7857138735643056,581301.36,2105677.7800000003,962
14,I-Télé/CNews,0.3537260479640817,0.6462739520359184,1293621.06,2372881.0,1173
14,L'Equipe 21,0.16533223909129402,0.8346677609087061,421521.32,2162689.96,829
14,LCI,0.360521013993371,0.639478986006629,1270924.02,2254101.36,1110
14,LCP/Public Sénat,0.33207460349889983,0.6679253965011002,1253075.14,2504238.64,1157
14,La chaîne Météo,0.20549578308826408,0.7945042169117359,418765.48,1581405.96,673
14,M6,0.4278505136928586,0.5721494863071415,1231545.8399999999,1665184.0,1174
14,Monte Carlo TMC,0.2964162553178889,0.703583744682111,865755.22,2097299.14,1150
14,NRJ 12,0.32034115006210523,0.6796588499378948,984941.3600000001,2068484.32,1150
14,Paris Première,0.2374126005393843,0.7625873994606157,379575.24,1245239.48,666
14,Planète+,0.18558548584902126,0.8144145141509787,364478.92,1573649.0,675
14,TF1,0.4303398923734371,0.5696601076265629,1270789.34,1713747.9000000001,1160
14,TV Breizh,0.3377239145597459,0.6622760854402542,500677.02,962919.0,557
14,TV5 Monde,0.28161968288737693,0.7183803171126231,525673.02,1347050.34,685
